Title,Credit Hour,level,Equivalent Courses,outlines
Introduction to Computing (CS101),Credit Hours:  3 + 1,Course Level: Freshman,"Equivalent Courses: Computer Applications (CS109), Introduction to Computer Science (CS102), IT in Business (CS111), Programming for Engineers ‑ I (CS112), Programming for Engineers ‑ I (EE110)"," Introduction to computer and its applications, Problem Solving Strategies, Algorithm, Flow Charts, Pseudocode, Algorithm Development (Input/Output, Conditional Statements, Iteration, Tracing of Algorithm), Debugging, Fundamentals of Programming, Control Structure and Dry-run of Algorithms, Structured Programming in C++."
Introduction to Computer Science (CS102),Credit Hours: 4,Course Level: Freshman,"Equivalent Courses: Computer Applications (CS109), Introduction to Computing (CS101), IT in Business (CS111), Programming for Engineers ‑ I (CS112), Programming for Engineers ‑ I (EE110)","Introduction to computers, basic computer architecture and hardware; Operating Systems, Desktop publishing and Internet software; Algorithm development including primitives, controls structure and dry‑run of algorithms; Structured programming including data‑types, fixed and conditional control structures, functions, arrays, strings, structures and pointers.  Separate lab session on hardware, operating systems, common desktop publishing packages."
Computer Programming (CS103),Credit Hours: 3 + 1,Course Level: Freshman,"Equivalent Courses: Computer Programming (CS104), Object‑Oriented Programming (CS105), Object‑Oriented Programming (CS106), Programming for Engineers ‑ II (CS113), Programming for Engineers ‑ II (EE112)"," Revision of structured programming concepts (pointers, recursion, etc.), Introduction to Object Oriented Programming, Classes/Objects, Operator Overloading, Inheritance, Polymorphism, Generic Programming (Templates), Standard Template Library, Exception Handling, File handling"
Computer Programming (CS104),Credit Hours: 4,Course Level: Freshman,"Equivalent Courses: Computer Programming (CS103), Object‑Oriented Programming (CS105), Object‑Oriented Programming (CS106), Programming for Engineers ‑ II (CS113), Programming for Engineers ‑ II (EE112)","Algorithms for searching and sorting. Efficiency  of algorithms. Structured Data Types: Arrays, Records, Sets and Files. Dynamic and pointer variables.Recursion.List processing. Stacks and queues. Program development cycle.Debugging and Testing Programs.Documentation."
Object‑Oriented Programming (CS105),Credit Hours: 3,Course Level: Freshman,"Equivalent Courses: Computer Programming (CS103), Computer Programming (CS104), Object‑Oriented Programming (CS106), Programming for Engineers ‑ II (CS113), Programming for Engineers ‑ II (EE112)","Introduction to the concept of objects and object‑oriented paradigm.  Object‑oriented programming including data abstraction, classes, constructors and destructors, operator and function overloading, inheritance, virtual functions and polymorphism, I/O and file processing, exception handling."
Object‑Oriented Programming (CS106),Credit Hours: 4,Course Level: Freshman,"Equivalent Courses: Computer Programming (CS103), Computer Programming (CS104), Object‑Oriented Programming (CS105), Programming for Engineers ‑ II (CS113), Programming for Engineers ‑ II (EE112)","Introduction to the concept of objects and object‑oriented paradigm.  Object‑oriented programming including data abstraction, classes, constructors and destructors, operator and function overloading, inheritance, virtual functions and polymorphism, I/O and file processing, exception handling."
Computer Programming (CS108),Credit Hours: 4,Course Level: Freshman,Equivalent Courses: Computer Programming (CS110),"Algorithms for searching and sorting. Efficiency  of algorithms. Structured Data Types: Arrays, Records, Sets and Files. Dynamic and pointer variables.Recursion.List processing. Stacks and queues. Program development cycle.Debugging and Testing Programs."
Computer Programming (CS110),Credit Hours: 3,Course Level: Freshman,Equivalent Courses: Computer Programming (CS108),"Algorithms for searching and sorting. Efficiency of algorithms. Structured Data Types: Arrays, Records, Sets and Files. Dynamic and pointer variables.Recursion.List processing. Stacks and queues. Program development cycle.Debugging and Testing Programs."
IT in Business (CS111),Credit Hours: 4,Course Level: Freshman,"Equivalent Courses: Computer Applications (CS109), Introduction to Computer Science (CS102), Introduction to Computing (CS101), Programming for Engineers ‑ I (CS112), Programming for Engineers ‑ I (EE110)","Introduction of commonly used business softwares, emerging concepts and techniques used in industry, tools to incorporate business intelligence, creating different technical documents, using state-of-the-art techniques and tools by Microsoft Corporation."
IT in Business (CS114),Credit Hours: 2,Course Level: Junior,"Equivalent Courses: Data Structures & Algorithms (CS202), Data Structures & Algorithms (CS210)","This course builds a foundation of digital literacy necessary for success in a technologically driven society. It imparts fundamental concepts of information technology and appreciation of IT’s role in a business environment. Students also develop skills related to word processing, spreadsheets, databases, desktop publishing, presentation software, and website design. While learning software, students are sensitized to effective electronic research and communication skills, sophisticated academic writing requirements such as the referencing and citation standards used by Harvard system, and current issues related to the impact of information and communication technology."
IT in Business Lab (CL114),Credit Hours: 1,Course Level: Sophomore,"Equivalent Courses: Data Structures & Algorithms (CS210), Data Structures (CS201)"," Arrays, linked lists, stacks, queues, trees (binary, binary search, AVL, B, Red-Black, traversals, etc), graphs (traversals, minimum spanning trees, Shortest path algorithms), sorting (Bubble, Selection, Insertion, Heap, Mergesort, Quicksort, Counting, Bucket, Radix) and searching (Sequential, Binary, Interpolation) algorithms"
Data Structures (CS201),Credit Hours: 3,Course Level: Sophomore,Equivalent Courses: Database Systems (CS204),"Introduction to data structures; Space‑time complexity; Big O notation; Storage and retrieval properties and techniques for the various data structures: Arrays, Strings, Stacks, Queues, Linked Lists, Trees; Heaps, Hash tables and Graphs; Sorting; Searching."
Data Structures & Algorithms (CS202),Credit Hours: 4,Course Level: Sophomore,Equivalent Courses: Database Systems (CS203)," Basic database concepts, Conceptual modeling, Relational data model, Relational theory and languages, Database design, SQL, Introduction to query processing and optimization, Introduction to concurrency and recovery with advance Topics."
Database Systems (CS203),Credit Hours: 3 + 1,Course Level: Sophomore,Equivalent Courses: Operating Systems (CS206),Basic Database Concepts; Entity‑Relationship model; Relational Data Model and Algebra; Structured Query Language; RDBMS; Database design Theory; Functional Dependencies and Normal Forms; Transaction Processing Concepts; Concurrency control techniques; Database recovery techniques; Database security and authorization; Distributed Databases; Data Warehousing and Data Mining.
Database Systems (CS204),Credit Hours: 4,Course Level: Sophomore,Equivalent Courses: Operating Systems (CS205),"History and Goals, Evolution of multi‑user systems, Process and CPU management, Multithreading, Kernel and User Modes, Protection, Problems of cooperative processes, Synchronization, Deadlocks, Memory management and virtual memory, Relocation, External Fragmentation, Paging and Demand Paging, Secondary storage, Security and Protection, File systems, I/O systems, Introduction to distributed operating systems. Lab assignments involving different single and multithreaded OS algorithms."
Operating Systems (CS205),Credit Hours: 3 + 1,Course Level: Sophomore,"Equivalent Courses: Assembly Language Programming (CS208), Comp. Organization &Assembly Lang. (EE213), Comp. Organization & Assembly Lang. (EE218)"," Theory and Implementation of Process Management, Thread Management, Process Synchronization, Deadlock Management, Memory Management, File Management."
Operating Systems (CS206),Credit Hours: 4,Course Level: Sophomore,"Equivalent Courses: Assembly Language Programming (CS207), Comp. Organization &Assembly Lang. (EE213), Comp. Organization & Assembly Lang. (EE218)","Objectives and Perspectives of Assembly Language, Microprocessor Bus Structure: Address, Data and Control, Memory Organization and Structure (Segmented and Linear Models), Addressing Modes, Introduction to the Assembler and Debugger, Introduction to Registers and Flags, Data Movement, Arithmetic and Logic, Program Control, Subroutines, Stack and its operation, Peripheral Control Interrupts, Interfacing with high level languages, Real‑time applications."
